,Region name,variable,value
282,Cornwall and Isles of Scilly,2014,1.5
283,Devon,2014,1.3
284,Greater Manchester,2014,1.4
285,Birmingham,2014,1.8
286,"Bristol, City of",2014,1.4
287,Leeds,2014,0.9
289,England,2015,1.3
290,North East,2015,3.1
291,North West,2015,2.2
292,Yorkshire and The Humber,2015,2.9
293,East Midlands,2015,0.5
294,West Midlands,2015,2.0
295,East,2015,1.0
296,London,2015,0.2
297,South East,2015,1.8
298,South West,2015,-0.4
299,Dorset and Somerset,2015,-1.2
300,Cornwall and Isles of Scilly,2015,-1.6
301,Devon,2015,1.0
302,Greater Manchester,2015,2.7
303,Birmingham,2015,1.4
304,"Bristol, City of",2015,0.4
305,Leeds,2015,2.5
307,England,2016,1.5
308,North East,2016,-0.5
309,North West,2016,1.4
310,Yorkshire and The Humber,2016,0.9
311,East Midlands,2016,0.8
312,West Midlands,2016,1.8
313,East,2016,1.5
314,London,2016,3.1
315,South East,2016,-0.1
316,South West,2016,0.9
317,Dorset and Somerset,2016,0.9
318,Cornwall and Isles of Scilly,2016,3.2
319,Devon,2016,0.6
320,Greater Manchester,2016,1.6
321,Birmingham,2016,1.7
322,"Bristol, City of",2016,3.8
323,Leeds,2016,-0.3
325,England,2017,1.8
326,North East,2017,1.6
327,North West,2017,2.3
328,Yorkshire and The Humber,2017,2.1
329,East Midlands,2017,0.4
330,West Midlands,2017,2.0
331,East,2017,4.1
332,London,2017,1.1
333,South East,2017,1.4
334,South West,2017,2.7
335,Dorset and Somerset,2017,4.1
336,Cornwall and Isles of Scilly,2017,3.9
337,Devon,2017,2.5
338,Greater Manchester,2017,3.7
339,Birmingham,2017,0.2
340,"Bristol, City of",2017,3.8
341,Leeds,2017,1.3
343,England,2018,1.0
344,North East,2018,1.0
345,North West,2018,0.7
346,Yorkshire and The Humber,2018,1.3
347,East Midlands,2018,1.8
348,West Midlands,2018,1.1
349,East,2018,-0.2
350,London,2018,1.3
351,South East,2018,1.3
352,South West,2018,0.0
353,Dorset and Somerset,2018,0.0
354,Cornwall and Isles of Scilly,2018,0.0
355,Devon,2018,-0.7
356,Greater Manchester,2018,2.6
357,Birmingham,2018,2.4
358,"Bristol, City of",2018,-3.9
359,Leeds,2018,4.7
361,England,2019,1.0
362,North East,2019,1.6
363,North West,2019,1.4
364,Yorkshire and The Humber,2019,0.8
365,East Midlands,2019,0.2
366,West Midlands,2019,-1.1
367,East,2019,1.2
368,London,2019,0.7
369,South East,2019,2.3
370,South West,2019,1.5
371,Dorset and Somerset,2019,0.9
372,Cornwall and Isles of Scilly,2019,0.9
373,Devon,2019,1.4
374,Greater Manchester,2019,1.1
375,Birmingham,2019,-0.6
376,"Bristol, City of",2019,2.5
377,Leeds,2019,0.5
379,England,2020,-11.9
380,North East,2020,-13.6
381,North West,2020,-12.3
382,Yorkshire and The Humber,2020,-12.0
383,East Midlands,2020,-11.2
384,West Midlands,2020,-11.6
385,East,2020,-13.1
386,London,2020,-11.6
387,South East,2020,-11.3
388,South West,2020,-12.3
389,Dorset and Somerset,2020,-11.6
390,Cornwall and Isles of Scilly,2020,-15.3
391,Devon,2020,-15.8
392,Greater Manchester,2020,-11.7
393,Birmingham,2020,-12.5
394,"Bristol, City of",2020,-12.8
395,Leeds,2020,-12.7
