,Region name,variable,value
142,Birmingham,2006,-0.4
143,East,2006,2.3
144,London,2006,3.6
145,South East,2006,2.1
146,South West,2006,1.4
147,"Bristol, City of",2006,1.4
148,Dorset and Somerset,2006,1.5
149,Cornwall and Isles of Scilly,2006,3.3
150,Cornwall and Isles of Scilly,2006,3.3
151,Devon,2006,2.8
152,England,2007,3.0
153,North East,2007,0.0
154,North West,2007,1.6
155,Greater Manchester,2007,3.5
156,Yorkshire and The Humber,2007,2.8
157,Leeds,2007,6.4
158,East Midlands,2007,0.7
159,West Midlands,2007,0.4
160,West Midlands,2007,2.1
161,Birmingham,2007,3.2
162,East,2007,1.6
163,London,2007,7.3
164,South East,2007,2.5
165,South West,2007,1.6
166,"Bristol, City of",2007,5.2
167,Dorset and Somerset,2007,-0.8
168,Cornwall and Isles of Scilly,2007,-1.9
169,Cornwall and Isles of Scilly,2007,-2.1
170,Devon,2007,-1.9
171,England,2008,-0.3
172,North East,2008,-1.5
173,North West,2008,-1.4
174,Greater Manchester,2008,-1.5
175,Yorkshire and The Humber,2008,-2.9
176,Leeds,2008,-3.7
177,East Midlands,2008,-0.6
178,West Midlands,2008,-0.5
179,West Midlands,2008,-2.0
180,Birmingham,2008,-1.9
181,East,2008,0.0
182,London,2008,0.2
183,South East,2008,1.2
184,South West,2008,0.0
185,"Bristol, City of",2008,0.4
186,Dorset and Somerset,2008,0.0
187,Cornwall and Isles of Scilly,2008,0.0
188,Cornwall and Isles of Scilly,2008,-0.2
189,Devon,2008,-1.3
190,England,2009,-5.2
191,North East,2009,-4.4
192,North West,2009,-4.1
193,Greater Manchester,2009,-2.7
194,Yorkshire and The Humber,2009,-5.2
195,Leeds,2009,-5.4
196,East Midlands,2009,-5.7
197,West Midlands,2009,-6.2
198,West Midlands,2009,-6.4
199,Birmingham,2009,-5.3
200,East,2009,-5.4
201,London,2009,-6.4
202,South East,2009,-4.1
203,South West,2009,-4.4
204,"Bristol, City of",2009,-2.1
205,Dorset and Somerset,2009,-4.4
206,Cornwall and Isles of Scilly,2009,-5.5
207,Cornwall and Isles of Scilly,2009,-5.9
208,Devon,2009,-3.9
209,England,2010,4.2
210,North East,2010,3.3
211,North West,2010,3.7
212,Greater Manchester,2010,3.2
213,Yorkshire and The Humber,2010,1.7
214,Leeds,2010,2.6
215,East Midlands,2010,4.9
216,West Midlands,2010,4.5
217,West Midlands,2010,4.5
218,Birmingham,2010,2.8
219,East,2010,3.6
220,London,2010,4.1
221,South East,2010,5.8
222,South West,2010,4.9
223,"Bristol, City of",2010,3.5
224,Dorset and Somerset,2010,2.2
225,Cornwall and Isles of Scilly,2010,3.6
226,Cornwall and Isles of Scilly,2010,3.6
227,Devon,2010,5.8
228,England,2011,2.5
229,North East,2011,2.4
230,North West,2011,0.6
231,Greater Manchester,2011,0.4
232,Yorkshire and The Humber,2011,2.3
233,Leeds,2011,2.2
234,East Midlands,2011,2.1
235,West Midlands,2011,3.6
236,West Midlands,2011,2.6
237,Birmingham,2011,1.4
238,East,2011,1.3
239,London,2011,4.1
240,South East,2011,2.6
241,South West,2011,1.5
242,"Bristol, City of",2011,0.1
243,Dorset and Somerset,2011,1.6
244,Cornwall and Isles of Scilly,2011,3.7
245,Cornwall and Isles of Scilly,2011,3.3
246,Devon,2011,1.6
247,England,2012,2.0
248,North East,2012,2.1
249,North West,2012,1.6
250,Greater Manchester,2012,3.2
251,Yorkshire and The Humber,2012,1.4
252,Leeds,2012,2.2
253,East Midlands,2012,1.3
254,West Midlands,2012,1.2
255,West Midlands,2012,1.1
256,Birmingham,2012,1.3
257,East,2012,1.3
258,London,2012,3.1
259,South East,2012,2.3
260,South West,2012,1.1
261,"Bristol, City of",2012,3.1
262,Dorset and Somerset,2012,-0.3
263,Cornwall and Isles of Scilly,2012,1.5
264,Cornwall and Isles of Scilly,2012,1.2
265,Devon,2012,0.9
266,England,2013,2.1
267,North East,2013,-0.4
268,North West,2013,1.8
269,Greater Manchester,2013,2.9
270,Yorkshire and The Humber,2013,1.2
271,Leeds,2013,0.8
272,East Midlands,2013,2.6
273,West Midlands,2013,2.5
274,West Midlands,2013,1.6
275,Birmingham,2013,2.2
276,East,2013,2.4
277,London,2013,3.2
278,South East,2013,1.8
279,South West,2013,0.9
280,"Bristol, City of",2013,0.2
281,Dorset and Somerset,2013,0.9
282,Cornwall and Isles of Scilly,2013,2.2
283,Cornwall and Isles of Scilly,2013,2.2
284,Devon,2013,2.2
285,England,2014,3.5
286,North East,2014,2.2
287,North West,2014,3.1
288,Greater Manchester,2014,2.0
289,Yorkshire and The Humber,2014,2.1
290,Leeds,2014,1.5
291,East Midlands,2014,2.3
292,West Midlands,2014,3.5
293,West Midlands,2014,3.4
294,Birmingham,2014,2.7
295,East,2014,4.3
296,London,2014,4.4
297,South East,2014,2.9
298,South West,2014,3.8
299,"Bristol, City of",2014,2.7
300,Dorset and Somerset,2014,3.8
301,Cornwall and Isles of Scilly,2014,2.3
302,Cornwall and Isles of Scilly,2014,2.1
303,Devon,2014,2.2
304,England,2015,2.2
305,North East,2015,3.4
306,North West,2015,2.8
307,Greater Manchester,2015,3.6
308,Yorkshire and The Humber,2015,3.5
309,Leeds,2015,3.6
310,East Midlands,2015,1.4
311,West Midlands,2015,2.8
312,West Midlands,2015,3.2
313,Birmingham,2015,2.5
314,East,2015,2.0
315,London,2015,1.7
316,South East,2015,2.7
317,South West,2015,0.5
318,"Bristol, City of",2015,2.0
319,Dorset and Somerset,2015,-0.5
320,Cornwall and Isles of Scilly,2015,-0.8
321,Cornwall and Isles of Scilly,2015,-0.5
322,Devon,2015,1.8
323,England,2016,2.4
324,North East,2016,0.0
325,North West,2016,2.1
326,Greater Manchester,2016,2.6
327,Yorkshire and The Humber,2016,1.5
328,Leeds,2016,0.7
329,East Midlands,2016,1.8
330,West Midlands,2016,2.8
331,West Midlands,2016,4.4
332,Birmingham,2016,3.0
333,East,2016,2.4
334,London,2016,4.3
335,South East,2016,0.8
336,South West,2016,1.7
337,"Bristol, City of",2016,5.0
338,Dorset and Somerset,2016,1.7
339,Cornwall and Isles of Scilly,2016,4.1
340,Cornwall and Isles of Scilly,2016,4.2
341,Devon,2016,1.3
342,England,2017,2.5
343,North East,2017,1.9
344,North West,2017,2.8
345,Greater Manchester,2017,4.4
346,Yorkshire and The Humber,2017,2.6
347,Leeds,2017,1.7
348,East Midlands,2017,1.4
349,West Midlands,2017,2.9
350,West Midlands,2017,1.4
351,Birmingham,2017,1.0
352,East,2017,4.7
353,London,2017,1.8
354,South East,2017,1.9
355,South West,2017,3.5
356,"Bristol, City of",2017,4.6
357,Dorset and Somerset,2017,4.6
358,Cornwall and Isles of Scilly,2017,5.1
359,Cornwall and Isles of Scilly,2017,5.2
360,Devon,2017,3.4
361,England,2018,1.7
362,North East,2018,1.5
363,North West,2018,1.2
364,Greater Manchester,2018,3.1
365,Yorkshire and The Humber,2018,1.8
366,Leeds,2018,5.3
367,East Midlands,2018,2.5
368,West Midlands,2018,1.8
369,West Midlands,2018,1.9
370,Birmingham,2018,2.7
371,East,2018,0.3
372,London,2018,2.3
373,South East,2018,1.9
374,South West,2018,0.7
375,"Bristol, City of",2018,-3.0
376,Dorset and Somerset,2018,0.5
377,Cornwall and Isles of Scilly,2018,0.9
378,Cornwall and Isles of Scilly,2018,0.8
379,Devon,2018,0.0
380,England,2019,1.6
381,North East,2019,2.1
382,North West,2019,2.1
383,Greater Manchester,2019,1.9
384,Yorkshire and The Humber,2019,1.2
385,Leeds,2019,1.0
386,East Midlands,2019,0.9
387,West Midlands,2019,-0.6
388,West Midlands,2019,-1.0
389,Birmingham,2019,-0.6
390,East,2019,1.7
391,London,2019,1.3
392,South East,2019,2.8
393,South West,2019,1.9
394,"Bristol, City of",2019,2.5
395,Dorset and Somerset,2019,1.2
396,Cornwall and Isles of Scilly,2019,1.5
397,Cornwall and Isles of Scilly,2019,1.5
398,Devon,2019,1.9
399,England,2020,-11.5
400,North East,2020,-13.3
401,North West,2020,-12.0
402,Greater Manchester,2020,-11.3
403,Yorkshire and The Humber,2020,-11.6
404,Leeds,2020,-12.1
405,East Midlands,2020,-10.6
406,West Midlands,2020,-11.2
407,West Midlands,2020,-10.9
408,Birmingham,2020,-12.6
409,East,2020,-12.6
410,London,2020,-11.2
411,South East,2020,-11.0
412,South West,2020,-11.8
413,"Bristol, City of",2020,-12.4
414,Dorset and Somerset,2020,-11.3
415,Cornwall and Isles of Scilly,2020,-14.7
416,Cornwall and Isles of Scilly,2020,-14.7
417,Devon,2020,-15.2
418,England,2021,8.9
419,North East,2021,9.4
420,North West,2021,9.9
421,Greater Manchester,2021,10.0
422,Yorkshire and The Humber,2021,9.8
423,Leeds,2021,9.9
424,East Midlands,2021,9.4
425,West Midlands,2021,8.0
426,West Midlands,2021,6.9
427,Birmingham,2021,8.7
428,East,2021,9.6
429,London,2021,8.5
430,South East,2021,8.2
431,South West,2021,8.5
432,"Bristol, City of",2021,11.3
433,Dorset and Somerset,2021,8.0
434,Cornwall and Isles of Scilly,2021,11.2
435,Cornwall and Isles of Scilly,2021,11.3
436,Devon,2021,11.2
