,date,Region,val
656,2010-09,Wales,27.1
660,2010-09,Scotland,23.1
664,2010-09,Northern Ireland,29.7
668,2010-09,England and Wales,23.8
672,2010-12,United Kingdom,24.0
676,2010-12,Great Britain,23.9
680,2010-12,England,23.7
684,2010-12,Wales,27.3
688,2010-12,Scotland,23.0
692,2010-12,Northern Ireland,29.1
696,2010-12,England and Wales,23.9
700,2011-03,United Kingdom,24.0
704,2011-03,Great Britain,23.9
708,2011-03,England,23.8
712,2011-03,Wales,27.3
716,2011-03,Scotland,22.9
720,2011-03,Northern Ireland,28.8
724,2011-03,England and Wales,24.0
728,2011-06,United Kingdom,24.0
732,2011-06,Great Britain,23.9
736,2011-06,England,23.8
740,2011-06,Wales,27.2
744,2011-06,Scotland,23.1
748,2011-06,Northern Ireland,28.1
752,2011-06,England and Wales,24.0
756,2011-09,United Kingdom,24.1
760,2011-09,Great Britain,24.0
764,2011-09,England,23.9
768,2011-09,Wales,27.4
772,2011-09,Scotland,23.2
776,2011-09,Northern Ireland,28.0
780,2011-09,England and Wales,24.1
784,2011-12,United Kingdom,24.0
788,2011-12,Great Britain,23.9
792,2011-12,England,23.7
796,2011-12,Wales,27.0
800,2011-12,Scotland,23.1
804,2011-12,Northern Ireland,27.6
808,2011-12,England and Wales,23.9
812,2012-03,United Kingdom,23.8
816,2012-03,Great Britain,23.7
820,2012-03,England,23.6
824,2012-03,Wales,27.0
828,2012-03,Scotland,23.3
832,2012-03,Northern Ireland,27.2
836,2012-03,England and Wales,23.7
840,2012-06,United Kingdom,23.7
844,2012-06,Great Britain,23.6
848,2012-06,England,23.4
852,2012-06,Wales,26.7
856,2012-06,Scotland,23.0
860,2012-06,Northern Ireland,27.4
864,2012-06,England and Wales,23.6
868,2012-09,United Kingdom,23.5
872,2012-09,Great Britain,23.4
876,2012-09,England,23.2
880,2012-09,Wales,26.6
884,2012-09,Scotland,23.1
888,2012-09,Northern Ireland,27.4
892,2012-09,England and Wales,23.4
896,2012-12,United Kingdom,23.4
900,2012-12,Great Britain,23.2
904,2012-12,England,23.1
908,2012-12,Wales,26.4
912,2012-12,Scotland,23.2
916,2012-12,Northern Ireland,27.6
920,2012-12,England and Wales,23.2
924,2013-03,United Kingdom,23.2
928,2013-03,Great Britain,23.1
932,2013-03,England,22.9
936,2013-03,Wales,26.1
940,2013-03,Scotland,23.3
944,2013-03,Northern Ireland,27.6
948,2013-03,England and Wales,23.0
952,2013-06,United Kingdom,23.1
956,2013-06,Great Britain,22.9
960,2013-06,England,22.7
964,2013-06,Wales,26.1
968,2013-06,Scotland,23.4
972,2013-06,Northern Ireland,27.9
976,2013-06,England and Wales,22.9
980,2013-09,United Kingdom,23.0
984,2013-09,Great Britain,22.8
988,2013-09,England,22.6
992,2013-09,Wales,25.5
996,2013-09,Scotland,23.4
1000,2013-09,Northern Ireland,27.6
1004,2013-09,England and Wales,22.8
1008,2013-12,United Kingdom,22.9
1012,2013-12,Great Britain,22.8
1016,2013-12,England,22.6
1020,2013-12,Wales,25.0
1024,2013-12,Scotland,23.1
1028,2013-12,Northern Ireland,27.5
1032,2013-12,England and Wales,22.7
1036,2014-03,United Kingdom,22.9
1040,2014-03,Great Britain,22.8
1044,2014-03,England,22.6
1048,2014-03,Wales,24.7
1052,2014-03,Scotland,22.9
1056,2014-03,Northern Ireland,27.8
1060,2014-03,England and Wales,22.8
1064,2014-06,United Kingdom,22.9
1068,2014-06,Great Britain,22.7
1072,2014-06,England,22.6
1076,2014-06,Wales,25.0
1080,2014-06,Scotland,22.6
1084,2014-06,Northern Ireland,27.7
1088,2014-06,England and Wales,22.7
1092,2014-09,United Kingdom,22.8
1096,2014-09,Great Britain,22.7
1100,2014-09,England,22.5
1104,2014-09,Wales,25.2
1108,2014-09,Scotland,22.6
1112,2014-09,Northern Ireland,27.1
1116,2014-09,England and Wales,22.7
1120,2014-12,United Kingdom,22.8
1124,2014-12,Great Britain,22.7
1128,2014-12,England,22.6
1132,2014-12,Wales,25.3
1136,2014-12,Scotland,22.5
1140,2014-12,Northern Ireland,27.6
1144,2014-12,England and Wales,22.7
1148,2015-03,United Kingdom,22.7
1152,2015-03,Great Britain,22.6
1156,2015-03,England,22.4
1160,2015-03,Wales,25.6
1164,2015-03,Scotland,22.2
1168,2015-03,Northern Ireland,26.9
1172,2015-03,England and Wales,22.6
1176,2015-06,United Kingdom,22.6
1180,2015-06,Great Britain,22.5
1184,2015-06,England,22.3
1188,2015-06,Wales,25.2
1192,2015-06,Scotland,22.5
1196,2015-06,Northern Ireland,27.3
1200,2015-06,England and Wales,22.5
1204,2015-09,United Kingdom,22.5
1208,2015-09,Great Britain,22.3
1212,2015-09,England,22.2
1216,2015-09,Wales,24.9
1220,2015-09,Scotland,22.2
1224,2015-09,Northern Ireland,27.8
1228,2015-09,England and Wales,22.3
1232,2015-12,United Kingdom,22.4
1236,2015-12,Great Britain,22.2
1240,2015-12,England,22.1
1244,2015-12,Wales,25.1
1248,2015-12,Scotland,22.3
1252,2015-12,Northern Ireland,27.1
1256,2015-12,England and Wales,22.2
1260,2016-03,United Kingdom,22.3
1264,2016-03,Great Britain,22.2
1268,2016-03,England,22.0
1272,2016-03,Wales,24.7
1276,2016-03,Scotland,22.7
1280,2016-03,Northern Ireland,27.2
1284,2016-03,England and Wales,22.2
1288,2016-06,United Kingdom,22.3
1292,2016-06,Great Britain,22.2
1296,2016-06,England,21.9
1300,2016-06,Wales,24.8
1304,2016-06,Scotland,22.9
1308,2016-06,Northern Ireland,26.9
1312,2016-06,England and Wales,22.1
1316,2016-09,United Kingdom,22.3
1320,2016-09,Great Britain,22.2
1324,2016-09,England,21.9
1328,2016-09,Wales,25.2
1332,2016-09,Scotland,23.3
1336,2016-09,Northern Ireland,26.3
1340,2016-09,England and Wales,22.1
1344,2016-12,United Kingdom,22.3
1348,2016-12,Great Britain,22.2
1352,2016-12,England,21.9
1356,2016-12,Wales,25.2
1360,2016-12,Scotland,23.3
1364,2016-12,Northern Ireland,26.0
1368,2016-12,England and Wales,22.1
1372,2017-03,United Kingdom,22.2
1376,2017-03,Great Britain,22.1
1380,2017-03,England,21.8
1384,2017-03,Wales,25.1
1388,2017-03,Scotland,23.1
1392,2017-03,Northern Ireland,26.8
1396,2017-03,England and Wales,22.0
1400,2017-06,United Kingdom,22.1
1404,2017-06,Great Britain,22.0
1408,2017-06,England,21.8
1412,2017-06,Wales,24.8
1416,2017-06,Scotland,23.1
1420,2017-06,Northern Ireland,26.5
1424,2017-06,England and Wales,21.9
1428,2017-09,United Kingdom,22.1
1432,2017-09,Great Britain,21.9
1436,2017-09,England,21.7
1440,2017-09,Wales,24.3
1444,2017-09,Scotland,22.8
1448,2017-09,Northern Ireland,27.1
1452,2017-09,England and Wales,21.8
1456,2017-12,United Kingdom,21.8
1460,2017-12,Great Britain,21.6
1464,2017-12,England,21.4
1468,2017-12,Wales,23.9
1472,2017-12,Scotland,22.6
1476,2017-12,Northern Ireland,27.6
1480,2017-12,England and Wales,21.5
1484,2018-03,United Kingdom,21.8
1488,2018-03,Great Britain,21.6
1492,2018-03,England,21.4
1496,2018-03,Wales,23.5
1500,2018-03,Scotland,22.4
1504,2018-03,Northern Ireland,27.6
1508,2018-03,England and Wales,21.5
1512,2018-06,United Kingdom,21.8
1516,2018-06,Great Britain,21.6
1520,2018-06,England,21.4
1524,2018-06,Wales,23.7
1528,2018-06,Scotland,22.3
1532,2018-06,Northern Ireland,27.8
1536,2018-06,England and Wales,21.5
1540,2018-09,United Kingdom,21.7
1544,2018-09,Great Britain,21.5
1548,2018-09,England,21.3
1552,2018-09,Wales,23.8
1556,2018-09,Scotland,22.4
1560,2018-09,Northern Ireland,27.4
1564,2018-09,England and Wales,21.5
1568,2018-12,United Kingdom,21.7
1572,2018-12,Great Britain,21.5
1576,2018-12,England,21.3
1580,2018-12,Wales,23.3
1584,2018-12,Scotland,22.6
1588,2018-12,Northern Ireland,27.2
1592,2018-12,England and Wales,21.4
1596,2019-03,United Kingdom,21.5
1600,2019-03,Great Britain,21.3
1604,2019-03,England,21.1
1608,2019-03,Wales,23.3
1612,2019-03,Scotland,22.2
1616,2019-03,Northern Ireland,26.7
1620,2019-03,England and Wales,21.2
1624,2019-06,United Kingdom,21.3
1628,2019-06,Great Britain,21.1
1632,2019-06,England,20.9
1636,2019-06,Wales,23.5
1640,2019-06,Scotland,22.1
1644,2019-06,Northern Ireland,26.2
1648,2019-06,England and Wales,21.0
1652,2019-09,United Kingdom,21.3
1656,2019-09,Great Britain,21.1
1660,2019-09,England,20.9
1664,2019-09,Wales,23.2
1668,2019-09,Scotland,22.2
1672,2019-09,Northern Ireland,26.4
1676,2019-09,England and Wales,21.0
1680,2019-12,United Kingdom,21.2
1684,2019-12,Great Britain,21.1
1688,2019-12,England,20.8
1692,2019-12,Wales,23.6
1696,2019-12,Scotland,22.5
1700,2019-12,Northern Ireland,26.2
1704,2019-12,England and Wales,21.0
1708,2020-03,United Kingdom,21.1
1712,2020-03,Great Britain,20.9
1716,2020-03,England,20.6
1720,2020-03,Wales,23.5
1724,2020-03,Scotland,23.0
1728,2020-03,Northern Ireland,25.9
1732,2020-03,England and Wales,20.7
1736,2020-06,United Kingdom,21.1
1740,2020-06,Great Britain,20.9
1744,2020-06,England,20.6
1748,2020-06,Wales,23.4
1752,2020-06,Scotland,23.1
1756,2020-06,Northern Ireland,26.0
1760,2020-06,England and Wales,20.7
1764,2020-09,United Kingdom,21.2
1768,2020-09,Great Britain,21.0
1772,2020-09,England,20.7
1776,2020-09,Wales,23.9
1780,2020-09,Scotland,23.3
1784,2020-09,Northern Ireland,26.8
1788,2020-09,England and Wales,20.8
1792,2020-12,United Kingdom,21.2
1796,2020-12,Great Britain,21.0
1800,2020-12,England,20.6
1804,2020-12,Wales,24.4
1808,2020-12,Scotland,23.2
1812,2020-12,Northern Ireland,28.0
1816,2020-12,England and Wales,20.8
1820,2021-03,United Kingdom,21.5
1824,2021-03,Great Britain,21.3
1828,2021-03,England,20.8
1832,2021-03,Wales,24.7
1836,2021-03,Scotland,23.5
1840,2021-03,Northern Ireland,28.7
1844,2021-03,England and Wales,21.0
1848,2021-06,United Kingdom,21.7
1852,2021-06,Great Britain,21.6
1856,2021-06,England,21.1
1860,2021-06,Wales,24.5
1864,2021-06,Scotland,24.1
1868,2021-06,Northern Ireland,27.7
1872,2021-06,England and Wales,21.3
1876,2021-09,United Kingdom,21.7
1880,2021-09,Great Britain,21.5
1884,2021-09,England,21.1
1888,2021-09,Wales,24.0
1892,2021-09,Scotland,23.9
1896,2021-09,Northern Ireland,27.1
1900,2021-09,England and Wales,21.3
1904,2021-12,United Kingdom,21.7
1908,2021-12,Great Britain,21.6
1912,2021-12,England,21.2
1916,2021-12,Wales,23.7
1920,2021-12,Scotland,23.8
1924,2021-12,Northern Ireland,27.0
1928,2021-12,England and Wales,21.4
1932,2022-03,United Kingdom,21.6
1936,2022-03,Great Britain,21.5
1940,2022-03,England,21.2
1944,2022-03,Wales,23.5
1948,2022-03,Scotland,23.5
1952,2022-03,Northern Ireland,26.5
1956,2022-03,England and Wales,21.3
1960,2022-06,United Kingdom,21.6
1964,2022-06,Great Britain,21.4
1968,2022-06,England,21.2
1972,2022-06,Wales,23.5
1976,2022-06,Scotland,22.9
1980,2022-06,Northern Ireland,27.3
1984,2022-06,England and Wales,21.3
1988,2022-09,United Kingdom,21.8
1992,2022-09,Great Britain,21.6
1996,2022-09,England,21.3
2000,2022-09,Wales,24.1
2004,2022-09,Scotland,22.8
2008,2022-09,Northern Ireland,27.4
2012,2022-09,England and Wales,21.5
2016,2022-12,United Kingdom,21.7
2020,2022-12,Great Britain,21.5
2024,2022-12,England,21.3
2028,2022-12,Wales,24.4
2032,2022-12,Scotland,22.9
2036,2022-12,Northern Ireland,26.3
2040,2022-12,England and Wales,21.4
2044,2023-03,United Kingdom,21.7
2048,2023-03,Great Britain,21.6
2052,2023-03,England,21.4
2056,2023-03,Wales,24.5
2060,2023-03,Scotland,22.6
2064,2023-03,Northern Ireland,26.0
2068,2023-03,England and Wales,21.5
